,0,不良-機械傷害,不良-著色不佳,不良-炭疽病,不良-乳汁吸附,不良-黑斑病
0,38414.jpg,1,0,0,0,0
1,03182.jpg,1,0,0,0,0
2,29863.jpg,1,0,0,0,0
3,17937.jpg,1,1,0,0,0
4,40878.jpg,1,0,0,0,0
5,29064.jpg,1,0,1,0,0
6,33963.jpg,1,0,0,0,0
7,44680.jpg,1,0,0,0,0
8,35482.jpg,1,1,0,0,0
9,04406.jpg,1,1,0,0,0
10,49127.jpg,1,0,0,0,0
11,20437.jpg,1,0,0,0,0
12,20160.jpg,1,1,0,0,0
13,01149.jpg,1,1,0,0,0
14,17256.jpg,1,1,0,0,0
15,45792.jpg,1,0,0,0,0
16,23349.jpg,1,0,0,0,0
17,35078.jpg,1,0,0,0,0
18,14616.jpg,1,0,0,0,0
19,02667.jpg,1,0,0,1,0
20,19911.jpg,1,1,0,0,0
21,27594.jpg,1,1,0,0,0
22,31915.jpg,1,0,0,0,0
23,12237.jpg,1,0,0,0,0
24,32345.jpg,1,1,0,0,0
25,05419.jpg,1,0,0,0,0
26,45771.jpg,1,0,0,0,0
27,35203.jpg,1,0,0,0,0
28,23029.jpg,1,0,0,0,0
29,48388.jpg,1,0,0,0,0
30,22551.jpg,1,0,0,0,0
31,39804.jpg,1,0,0,0,0
32,05828.jpg,1,0,0,0,0
33,01876.jpg,1,0,0,0,0
34,11257.jpg,1,0,0,0,0
35,19992.jpg,1,0,1,0,0
36,33553.jpg,1,0,0,0,0
37,45136.jpg,1,0,1,0,0
38,26192.jpg,1,0,0,0,0
39,22272.jpg,1,0,0,0,0
40,42079.jpg,1,0,0,0,0
41,22352.jpg,1,0,0,0,0
42,25099.jpg,1,1,0,0,0
43,06994.jpg,1,0,0,0,0
44,46759.jpg,1,0,0,0,0
45,23050.jpg,1,1,1,0,0
46,45378.jpg,1,0,0,0,0
47,02900.jpg,1,1,0,0,0
48,25198.jpg,1,0,0,0,0
49,37732.jpg,1,0,0,0,0
50,07335.jpg,1,0,0,0,0
51,11738.jpg,1,0,0,0,0
52,15176.jpg,1,0,0,0,0
53,47688.jpg,1,0,0,0,0
54,15302.jpg,1,0,0,0,0
55,17757.jpg,1,0,0,0,0
56,00965.jpg,1,0,0,0,0
57,07416.jpg,1,0,0,0,0
58,26861.jpg,1,0,0,0,0
59,34103.jpg,1,0,0,0,0
60,21006.jpg,1,0,0,0,0
61,33347.jpg,1,0,0,0,0
62,43114.jpg,1,0,0,0,0
63,43835.jpg,1,0,1,1,0
64,17325.jpg,1,0,0,0,0
65,15007.jpg,1,0,0,0,0
66,20295.jpg,1,0,1,0,0
67,38748.jpg,1,0,0,0,0
68,42846.jpg,1,1,0,0,0
69,39938.jpg,1,0,1,0,0
70,03298.jpg,1,0,0,0,0
71,44291.jpg,1,0,0,0,0
72,15458.jpg,1,0,0,0,0
73,31117.jpg,1,0,0,0,0
74,47859.jpg,1,0,0,0,0
75,19742.jpg,1,0,0,0,0
76,35969.jpg,1,0,0,0,0
77,10348.jpg,1,0,0,0,0
78,31135.jpg,1,0,1,0,0
79,05384.jpg,1,0,0,0,0
80,19101.jpg,1,0,0,0,0
81,04587.jpg,1,0,0,0,0
82,07647.jpg,1,0,0,0,0
83,01441.jpg,1,0,0,0,0
84,18904.jpg,1,0,0,0,0
85,09125.jpg,1,0,0,0,0
86,11336.jpg,1,0,0,1,0
87,14232.jpg,1,0,0,0,0
88,05652.jpg,1,0,0,0,0
89,33544.jpg,1,0,0,0,0
90,22860.jpg,1,0,0,0,0
91,23786.jpg,1,0,1,0,0
92,38019.jpg,1,0,0,0,0
93,44737.jpg,1,0,0,0,0
94,12181.jpg,1,0,0,0,0
95,03194.jpg,1,0,0,0,0
96,37562.jpg,1,0,0,0,0
97,33121.jpg,1,0,0,0,0
98,39124.jpg,1,0,1,0,0
99,08670.jpg,1,0,0,0,0
100,19646.jpg,1,0,0,0,0
101,31124.jpg,1,0,0,0,0
102,15811.jpg,1,0,0,0,0
103,43647.jpg,1,0,0,0,0
104,10018.jpg,1,1,0,0,0
105,05676.jpg,1,0,0,0,0
106,27902.jpg,1,1,0,0,0
107,33214.jpg,1,0,0,0,0
108,17382.jpg,1,0,0,0,0
109,27260.jpg,1,0,0,0,0
110,43578.jpg,1,0,0,0,0
111,44849.jpg,1,1,0,0,0
112,44536.jpg,1,0,0,0,0
113,47478.jpg,1,1,1,0,0
114,35430.jpg,1,0,0,0,0
115,06022.jpg,1,0,0,0,0
116,01394.jpg,1,0,1,0,0
117,47661.jpg,1,0,0,0,0
118,21358.jpg,1,0,0,0,0
119,43815.jpg,1,0,0,1,0
120,27356.jpg,1,0,0,0,0
121,23058.jpg,1,1,0,0,0
122,05844.jpg,1,0,0,0,0
123,14043.jpg,1,0,0,0,0
124,36143.jpg,1,0,0,0,0
125,38586.jpg,1,0,0,0,0
126,40657.jpg,1,0,0,0,0
127,10752.jpg,1,0,0,0,0
128,18014.jpg,1,0,0,0,0
129,38585.jpg,1,0,0,1,0
130,49212.jpg,1,0,1,0,0
131,41868.jpg,1,0,1,0,0
132,23165.jpg,1,0,0,0,0
133,09689.jpg,1,1,0,0,0
134,19874.jpg,1,0,0,0,0
135,42274.jpg,1,0,0,1,0
136,37483.jpg,1,1,0,0,0
137,09628.jpg,1,0,0,0,0
138,36991.jpg,1,0,1,0,0
139,42735.jpg,1,0,0,0,0
140,00246.jpg,1,0,0,0,0
141,09034.jpg,1,1,0,0,0
142,31634.jpg,1,0,0,0,0
143,03394.jpg,1,0,0,0,0
144,49662.jpg,1,0,0,0,0
145,23362.jpg,1,0,0,1,0
146,08226.jpg,1,1,1,0,0
147,38850.jpg,1,0,0,0,0
148,22686.jpg,1,0,0,0,0
149,22657.jpg,1,0,0,0,0
150,38266.jpg,1,0,0,0,0
151,11403.jpg,1,0,1,0,0
152,44199.jpg,1,0,0,0,0
153,48487.jpg,1,0,0,0,0
154,24905.jpg,1,0,0,0,0
155,45308.jpg,1,0,0,0,0
156,36963.jpg,1,0,0,0,0
157,24109.jpg,1,0,0,0,0
158,43323.jpg,1,0,0,0,0
159,38234.jpg,1,0,0,0,0
160,35036.jpg,1,0,0,0,0
161,20519.jpg,1,0,0,0,0
162,45574.jpg,1,0,0,0,0
163,24474.jpg,1,0,0,0,0
164,08579.jpg,1,0,0,1,0
165,25596.jpg,1,0,0,0,0
166,29141.jpg,1,0,0,0,0
167,46687.jpg,1,0,0,0,0
168,13957.jpg,1,0,1,0,0
169,05982.jpg,1,0,0,0,0
170,23969.jpg,1,0,0,0,0
171,14812.jpg,1,1,0,0,0
172,26830.jpg,1,0,1,0,0
173,19876.jpg,1,0,0,0,0
174,23468.jpg,1,0,0,0,0
175,29272.jpg,1,1,0,0,0
176,08454.jpg,1,1,0,0,0
177,33006.jpg,1,1,0,0,0
178,06334.jpg,1,0,0,0,0
179,47193.jpg,1,0,0,0,0
180,38937.jpg,1,0,1,0,0
181,44813.jpg,1,0,0,0,0
182,34061.jpg,1,0,0,0,0
183,41788.jpg,1,0,0,0,0
184,15847.jpg,1,0,0,0,0
185,49759.jpg,1,0,0,0,0
186,15745.jpg,1,0,0,0,0
187,13409.jpg,1,0,0,0,0
188,08264.jpg,1,0,0,0,0
189,46345.jpg,1,0,1,0,0
190,02817.jpg,1,0,0,0,0
191,00650.jpg,1,0,1,0,0
192,06071.jpg,1,0,0,0,0
193,46690.jpg,1,0,1,1,0
194,15900.jpg,1,1,0,0,0
195,40226.jpg,1,0,0,0,0
196,00275.jpg,1,1,1,0,0
197,31582.jpg,1,0,0,0,0
198,38995.jpg,1,0,0,0,0
199,35827.jpg,1,0,0,0,0
200,00546.jpg,1,0,0,0,0
201,13966.jpg,1,0,0,0,0
202,18513.jpg,1,0,0,0,0
203,30864.jpg,1,0,0,0,0
204,24497.jpg,1,0,0,0,0
205,43239.jpg,1,1,0,0,0
206,30836.jpg,1,0,0,0,0
207,37979.jpg,1,0,1,0,0
208,45409.jpg,1,0,0,0,0
209,02279.jpg,1,0,0,0,0
210,39115.jpg,1,0,0,0,0
211,31401.jpg,1,0,0,0,0
212,42226.jpg,1,0,0,0,0
213,45393.jpg,1,0,0,0,0
214,24760.jpg,1,0,0,0,0
215,25426.jpg,1,0,0,0,0
216,29804.jpg,1,0,0,0,0
217,00141.jpg,1,0,0,0,0
218,34894.jpg,1,0,0,0,0
219,49355.jpg,1,0,0,0,0
220,44370.jpg,1,0,0,0,0
221,09753.jpg,1,0,0,0,0
222,29925.jpg,1,0,0,0,0
223,03761.jpg,1,0,0,0,0
224,27149.jpg,1,0,0,0,0
225,42968.jpg,1,0,0,0,0
226,05193.jpg,1,1,0,0,0
227,45470.jpg,1,0,0,0,0
228,33864.jpg,1,0,1,0,0
229,35561.jpg,1,1,0,0,0
230,28550.jpg,1,0,0,0,0
231,36045.jpg,1,0,0,0,0
232,47802.jpg,1,0,0,0,0
233,27382.jpg,1,0,0,0,0
234,09866.jpg,1,0,1,0,0
235,41784.jpg,1,1,0,0,0
236,31841.jpg,1,0,0,0,0
237,14438.jpg,1,0,0,0,0
238,06970.jpg,1,0,0,0,0
239,16719.jpg,1,1,0,0,0
240,28416.jpg,1,0,0,0,0
241,17669.jpg,1,0,0,0,0
242,48556.jpg,1,1,0,0,0
243,38217.jpg,1,0,0,0,0
244,20303.jpg,1,0,0,0,0
245,47520.jpg,1,0,0,0,0
246,34549.jpg,1,0,0,0,0
247,28634.jpg,1,0,1,0,0
248,28296.jpg,1,1,0,0,0
249,31228.jpg,1,1,1,0,0
250,41293.jpg,1,0,0,0,0
251,01752.jpg,1,0,0,0,0
252,24967.jpg,1,0,0,0,0
253,02922.jpg,1,0,0,0,0
254,07557.jpg,1,0,0,0,0
255,10147.jpg,1,0,0,0,0
256,25461.jpg,1,0,0,0,0
257,49135.jpg,1,0,0,0,0
258,41165.jpg,1,0,0,0,0
259,29794.jpg,1,0,0,0,0
260,15029.jpg,1,0,0,0,0
261,14538.jpg,1,0,0,0,0
262,30915.jpg,1,0,1,0,0
263,06260.jpg,1,0,0,0,0
264,33686.jpg,1,0,0,0,0
265,40063.jpg,1,1,0,0,0
266,36503.jpg,1,0,0,1,0
267,11259.jpg,1,0,0,0,0
268,18620.jpg,1,0,0,0,0
269,46657.jpg,1,0,1,0,0
270,14378.jpg,1,0,0,0,0
271,28374.jpg,1,0,1,0,0
272,49495.jpg,1,0,0,0,0
273,02908.jpg,1,0,0,0,0
274,46397.jpg,1,0,0,0,0
275,44451.jpg,1,0,0,0,0
276,31193.jpg,1,0,0,0,0
277,35960.jpg,1,1,1,0,0
278,14439.jpg,1,0,0,0,0
279,24171.jpg,1,0,0,0,1
280,41426.jpg,1,0,0,0,1
281,18091.jpg,1,1,1,1,0
282,12232.jpg,1,1,1,0,1
283,10380.jpg,1,1,1,0,1
284,19510.jpg,1,1,1,1,0
285,06911.jpg,1,0,1,0,1
286,19546.jpg,1,1,1,1,1
287,27142.jpg,1,0,1,1,1
288,07820.jpg,1,0,1,1,1
289,34626.jpg,1,0,1,1,1
290,36306.jpg,1,1,1,0,1
291,43571.jpg,1,0,1,0,1
292,33456.jpg,1,1,1,1,1
293,17991.jpg,1,0,1,0,1
294,43735.jpg,1,0,1,0,1
295,19872.jpg,1,0,1,0,1
296,10079.jpg,1,1,1,0,1
297,44161.jpg,1,1,1,0,1
298,38993.jpg,1,1,0,1,0
299,31691.jpg,1,1,1,0,1
300,28028.jpg,1,1,1,0,0
301,13678.jpg,1,1,0,0,1
302,10815.jpg,1,0,0,1,1
303,11845.jpg,1,1,1,1,0
304,10681.jpg,1,1,1,1,0
305,09729.jpg,1,0,1,1,0
306,21955.jpg,1,0,1,1,1
307,24971.jpg,1,0,0,1,0
308,48960.jpg,1,0,1,0,0
309,40774.jpg,1,0,0,0,1
310,47399.jpg,1,0,0,0,0
311,31602.jpg,1,0,1,0,1
312,24723.jpg,1,0,0,0,1
313,46134.jpg,1,0,1,0,0
314,03585.jpg,1,0,1,0,0
315,27515.jpg,1,1,1,0,0
316,30440.jpg,1,0,1,0,0
317,49211.jpg,1,0,1,0,0
318,16410.jpg,1,0,1,0,0
319,40610.jpg,1,1,0,0,0
320,16330.jpg,1,0,0,0,0
321,22729.jpg,1,1,1,1,0
322,20105.jpg,1,0,0,0,0
323,15126.jpg,1,1,1,0,0
324,04028.jpg,1,0,1,0,0
325,27657.jpg,1,1,1,0,0
326,26149.jpg,1,0,1,1,0
327,02427.jpg,1,0,1,1,0
328,08249.jpg,1,0,1,0,0
329,07426.jpg,1,0,1,0,1
330,08336.jpg,1,0,1,0,0
331,15107.jpg,1,0,0,1,1
332,04881.jpg,1,0,1,0,0
333,32682.jpg,1,0,1,1,1
334,29256.jpg,1,1,1,0,0
335,41229.jpg,1,1,1,0,1
336,33034.jpg,1,0,0,0,1
337,08735.jpg,1,0,1,1,0
338,40849.jpg,1,0,1,0,0
339,11292.jpg,1,0,1,0,0
340,40180.jpg,1,0,0,0,0
341,42110.jpg,1,0,1,0,1
342,06523.jpg,1,0,1,0,1
343,48592.jpg,1,0,1,0,1
344,13110.jpg,1,0,1,0,1
345,49227.jpg,1,1,0,0,0
346,18856.jpg,1,0,1,1,1
347,08093.jpg,1,0,1,0,0
348,40629.jpg,1,1,1,0,1
349,47755.jpg,1,0,1,0,1
350,26418.jpg,1,0,1,0,1
351,37803.jpg,1,1,0,0,0
352,06574.jpg,1,0,1,0,0
353,09939.jpg,1,1,0,0,0
354,08114.jpg,1,1,1,1,0
355,33900.jpg,1,0,0,0,0
356,26245.jpg,1,0,0,0,0
357,31570.jpg,1,0,1,0,0
358,25689.jpg,1,1,1,0,1
359,16042.jpg,1,0,1,0,0
360,24543.jpg,1,0,1,1,0
361,05566.jpg,1,0,1,0,0
362,43873.jpg,1,0,1,0,0
363,12637.jpg,1,0,1,0,0
364,10878.jpg,1,0,1,0,0
365,46795.jpg,1,0,0,0,0
366,25807.jpg,1,1,1,1,0
367,14236.jpg,1,0,1,0,0
368,38256.jpg,1,1,1,1,1
369,17403.jpg,1,0,1,0,1
370,29118.jpg,1,0,1,1,0
371,39296.jpg,1,0,1,0,0
372,07671.jpg,1,0,1,0,0
373,32915.jpg,1,1,1,0,1
374,19112.jpg,1,0,1,0,0
375,03093.jpg,1,0,1,0,0
376,42901.jpg,1,0,1,0,0
377,01195.jpg,1,0,1,1,0
378,01421.jpg,1,0,1,1,0
379,19848.jpg,1,0,1,1,0
380,22220.jpg,1,1,1,1,1
381,49270.jpg,1,0,1,0,1
382,17807.jpg,1,0,1,0,0
383,32256.jpg,1,0,1,0,1
384,01746.jpg,1,0,1,0,1
385,18819.jpg,1,0,1,0,0
386,29643.jpg,1,1,1,0,1
387,02663.jpg,1,0,1,1,1
388,34647.jpg,1,0,1,0,0
389,15598.jpg,1,0,1,0,1
390,21584.jpg,1,0,1,1,0
391,22282.jpg,1,0,1,1,0
392,32202.jpg,1,1,1,1,0
393,17911.jpg,1,0,1,0,0
394,49964.jpg,1,0,0,0,0
395,42307.jpg,1,0,1,0,0
396,13154.jpg,1,0,0,0,0
397,10642.jpg,1,0,0,0,0
